,number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia,Cluster
372,3930,1,6.0,ampemba,,,,,,,Cluster 1
373,10902,1,2.0,balahazo _maina,,,,,,,Cluster 3
374,9761,0,2.0,voanemba,,,,,,,Cluster 0
375,6460,1,4.0,tsako,,,,,,,Cluster 3
376,5360,1,4.0,tsako,,,,,,,Cluster 3
377,2031,1,7.0,balahazo _maina,,,,,,,Cluster 1
378,2171,1,7.0,bageda,,,,,,,Cluster 1
379,1080,0,0.0,tsako,1 5,2.0,3.0,2018.0,agosto,8.0,Cluster 0
380,5950,1,7.0,balahazo _maina,,,,,,,Cluster 1
381,4793,1,4.0,Menaka,,,,,,,Cluster 3
382,12041,1,7.0,bageda,,,,,,,Cluster 1
383,3260,1,4.0,tsako,,,,,,,Cluster 3
384,48510,0,0.0,pitipoa,,,,,,,Cluster 0
385,10720,1,5.0,tsako,,,,,,,Cluster 3
386,2477,0,0.0,hena_omby,,,,,,,Cluster 0
387,10714,1,1.0,vary,,,,,,,Cluster 3
388,10200,1,7.0,tsako,,,,,,,Cluster 1
389,11620,1,6.0,tsako,,,,,,,Cluster 1
390,11781,1,7.0,Menaka,,,,,,,Cluster 1
391,1386,0,3.0,sakafo_hafa_soraty,,,,,,,Cluster 0
392,11680,1,4.0,antake,,,,,,,Cluster 3
393,9800,1,7.0,raketa_mena,,,,,,,Cluster 1
394,831,1,1.0,ampemba,16 21,2.0,1.0,2018.0,agosto,8.0,Cluster 3
395,11771,1,7.0,bageda,,,,,,,Cluster 1
396,10551,1,7.0,balahazo _maina,,,,,,,Cluster 1
397,4390,1,4.0,tsako,,,,,,,Cluster 3
398,11612,1,3.0,ampemba,,,,,,,Cluster 3
399,2402,1,7.0,raketa_mena,,,,,,,Cluster 1
400,111,1,1.0,voanemba,16 6,2.0,0.0,2018.0,agosto,8.0,Cluster 3
401,98511,0,2.0,pitipoa,,,,,,,Cluster 0
402,1991,1,7.0,balahazo _maina,,,,,,,Cluster 1
403,8179,0,0.0,vokatra_azo_aminy_ronono,,,,,,,Cluster 0
404,5131,1,7.0,ravi_balahazo,,,,,,,Cluster 1
405,4262,1,7.0,bageda,,,,,,,Cluster 1
406,2991,1,7.0,balahazo _maina,,,,,,,Cluster 1
407,3562,1,7.0,raketa_mena,,,,,,,Cluster 1
408,8001,1,7.0,raketa_mena,,,,,,,Cluster 1
409,2761,1,1.0,ampemba,,,,,,,Cluster 3
410,3743,1,7.0,bageda,,,,,,,Cluster 1
411,8624,1,7.0,sakafo_hafa_soraty,,,,,,,Cluster 1
412,11331,1,7.0,ravina_hafa,,,,,,,Cluster 1
413,8177,0,2.0,hena_omby,,,,,,,Cluster 0
414,8161,1,2.0,balahazo _maina,,,,,,,Cluster 3
415,8753,0,2.0,bageda,,,,,,,Cluster 0
416,1041,1,1.0,ampemba,5 7,2.0,3.0,2018.0,agosto,1.0,Cluster 3
417,7571,1,1.0,raketa_mena,,,,,,,Cluster 3
418,4670,1,7.0,ampemba,,,,,,,Cluster 1
419,8951,1,4.0,taboara,,,,,,,Cluster 3
420,10650,1,5.0,tsako,,,,,,,Cluster 3
